,Name,Country,Brand,Categories,Tasting Notes,ABV,Food Pairing,Suggested Glassware,Suggested Serving Temperature,Sweet-Dry Scale,Body,Rating,Rate Count,Price
114,Robert Mondavi Winery Napa Cabernet Sauvignon,United States,Robert Mondavi Winery,"Cabernet Sauvignon, Red Wine",,14%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.1,12,3721.0
115,Robert Mondavi Winery Napa Fume Blanc,United States,Robert Mondavi Winery,"Sauvignon Blanc, White Wine",,14%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,3,1899.0
116,Gallo Family Vineyards Pinot Grigio,United States,Gallo Family Vineyards,"Pinot Grigio, White Wine",,11.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,11,524.0
117,Gallo Family Vineyards Chardonnay,United States,Gallo Family Vineyards,"Chardonnay, White Wine","Citrus, Fruity, Vanilla",13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,8,549.0
118,Gallo Family Vineyards Sauvignon Blanc,United States,Gallo Family Vineyards,"Sauvignon Blanc, White Wine",,13%,"Chicken, Cheese - Fresh  Soft",Standard White Glass,3,Dry Wine,Light,5.0,6,599.0
119,Gallo Family Vineyards Cabernet Sauvignon,United States,Gallo Family Vineyards,"Cabernet Sauvignon, Red Wine",,13%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,5,549.0
120,Gallo Family Vineyards Merlot,United States,Gallo Family Vineyards,"Merlot, Red Wine",,13%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,2,524.0
121,Ferrari-Carano Sonoma Chardonnay,United States,Ferrari-Carano,"Chardonnay, White Wine","Toasty, Vanilla, Stone Fruit, Citrus",12%,"Chicken, Fish - Meaty  Oily",Chardonnay Glass,4,Dry Wine,Full,5.0,20,2199.0
122,Ferrari Carano Cabernet Sauvignon,United States,Ferrari-Carano,"Cabernet Sauvignon, Red Wine",,13%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,4,3294.0
123,Ferrari Carano Merlot,United States,Ferrari-Carano,"Merlot, Red Wine",,12%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,2,2299.0
124,Jacob’s Creek Cabernet Sauvignon,Australia,Jacobs Creek,"Cabernet Sauvignon, Red Wine",,13.7%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,799.0
125,Jacobs Creek Double Barrel Cabernet Savignon,Australia,Jacobs Creek,"Cabernet Sauvignon, Red Wine",,14%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,2,1499.0
126,Chateau St. Jean Chardonnay California,United States,Chateau St. Jean,"Chardonnay, White Wine","Nectarine, Apricot, Pear, Salty",13.5%,"Mushrooms, Fish - Meaty  Oily",Chardonnay Glass,4,Dry Wine,Full,5.0,4,1099.0
127,Chateau St. Jean Merlot California,United States,Chateau St. Jean,"Merlot, Red Wine",,13.8%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,3,1199.0
128,Rodney Strong Sonoma County Cabernet Sauvignon,United States,Rodney Strong,"Cabernet Sauvignon, Red Wine",Tropical Fruit,14.5%,"Beef, Lamb, Root Vegetables",Bordeaux Glass,6,Dry Wine,Full,5.0,26,1799.0
129,Rodney Strong Sonoma County Chardonnay,United States,Rodney Strong,"Chardonnay, White Wine",,13.5%,"Cheese - Fresh  Soft, Chicken, Salads  Greens, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,5,1299.0
130,Rodney Strong Chalk Hill Chardonnay,United States,Rodney Strong,"Chardonnay, White Wine","Citrus, Pear, Spicy, Vanilla",14.5%,"Cheese - Fresh  Soft, Pork, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,4,1699.0
131,Rodney Strong Alexander Valley Cabernet Sauvignon,United States,Rodney Strong,"Cabernet Sauvignon, Red Wine","Berry, Bold, Cassis, Chocolate, Fig",14.5%,"Beef, Cheese - Hard Aged, Duck  Game Bird, Root Vegetables",Bordeaux Glass,6,Dry Wine,Full,5.0,2,2299.0
132,Rodney Strong Charlotte’s Home Sauvignon Blanc,United States,Rodney Strong,"Sauvignon Blanc, White Wine",,13.5%,"Cheese - Fresh  Soft, Chicken",Standard White Glass,3,Dry Wine,Light,5.0,2,1299.0
133,Rodney Strong Alexander’s Crown Cabernet Sauvignon,United States,Rodney Strong,"Cabernet Sauvignon, Red Wine","Currant, Dark Fruit, Herbal, Mocha",15%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,2.5,2,3499.0
134,Banfi Chianti Superiore,Italy,Banfi,"Chianti Blend, Red Wine",,13.3%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,6,Dry Wine,Medium,5.0,3,1199.0
135,Banfi Chianti Classico Riserva,Italy,Banfi,"Chianti Blend, Red Wine",,13%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,6,Dry Wine,Medium,5.0,2,1999.0
136,Menage A Trois Decadence Cabernet Sauvignon,United States,Menage a Trois Wine,"Cabernet Sauvignon, Red Wine",,13.7%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,20,1299.0
137,Menage A Trois Lavish Merlot,United States,Menage a Trois Wine,"Merlot, Red Wine","Berry, Blueberry, Chocolate, Vanilla",13.8%,"Dessert - Chocolate  Coffee, Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,9,1099.0
138,Menage A Trois Gold Chardonnay,United States,Menage a Trois Wine,"Chardonnay, White Wine",,13.95%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,8,1099.0
139,Menage A Trois Cabernet Sauvignon,United States,Menage a Trois Wine,"Cabernet Sauvignon, Red Wine","Jammy, Dark Fruit, Fresh, Silky",13.8%,"Beef, Lamb, Pork",Bordeaux Glass,6,Dry Wine,Full,4.2,7,1299.0
140,Menage A Trois Pinot Grigio,United States,Menage a Trois Wine,"Pinot Grigio, White Wine","Fruity, Fresh, Bright, Round",13.1%,"Salads  Greens, Chicken",Standard White Glass,3,Dry Wine,Light,5.0,6,1099.0
141,Menage A Trois Merlot,United States,Menage a Trois Wine,"Merlot, Red Wine",,13.7%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,4,1099.0
142,Menage A Trois Pinot Noir,United States,Menage a Trois Wine,"Pinot Noir, Red Wine",,13.3%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,2.5,2,1299.0
143,Crane Lake Cabernet Sauvignon,United States,Crane Lake,"Cabernet Sauvignon, Red Wine",,12.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,4,554.0
144,Crane Lake Chardonnay,United States,Crane Lake,"Chardonnay, White Wine",,12.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,549.0
145,Crane Lake Pinot Grigio,United States,Crane Lake,"Pinot Grigio, White Wine",,12.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,2,549.0
146,[ yellow tail ] Chardonnay,Australia,Yellow Tail,"Chardonnay, White Wine","Peach, Melon - Honeydew, Vanilla",13.5%,"Chicken, Salads  Greens",Chardonnay Glass,4,Dry Wine,Full,4.9,203,769.0
147,[ yellow tail ] Cabernet Sauvignon,Australia,Yellow Tail,"Cabernet Sauvignon, Red Wine","Currant, Mocha, Spicy",13.5%,"Beef, Lamb",Bordeaux Glass,6,Dry Wine,Full,4.9,168,749.0
148,[ yellow tail ] Pinot Grigio,Australia,Yellow Tail,"Pinot Grigio, White Wine","Apple, Pear, Tropical Fruit",11.5%,"Pork, Mushrooms",Standard White Glass,3,Dry Wine,Light,4.8,89,749.0
149,[ yellow tail ]  Merlot,Australia,Yellow Tail,"Merlot, Red Wine","Dark Fruit, Berry, Spicy",13.5%,"Beef, Cured Meats",Bordeaux Glass,6,Dry Wine,Medium,4.8,77,749.0
150,[ yellow tail ] Sauvignon Blanc,Australia,Yellow Tail,"Sauvignon Blanc, White Wine","Tropical Fruit, Grapefruit, Apple, Crisp",12%,"Shellfish, Fish - White",Standard White Glass,3,Dry Wine,Light,5.0,41,749.0
151,[ yellow tail ]  Pinot Noir,Australia,Yellow Tail,"Pinot Noir, Red Wine","Cherry, Red Fruit, Sweet, Spicy",13.5%,"Beef, Chicken",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.8,35,700.0
152,[ yellow tail ] Riesling,Australia,Yellow Tail,"Riesling, White Wine","Floral, Citrus, Green Apple",11.5%,"Fish - White, Cured Meats",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,4.5,20,769.0
153,Arbor Mist Blackberry Merlot,United States,Arbor Mist,"Merlot, Red Wine",,14%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,4.7,24,549.0
154,Arbor Mist Island Fruit Pinot Grigio,United States,Arbor Mist,"Pinot Grigio, White Wine",,6%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,4,549.0
155,Arbor Mist White Pear Pinot Grigio,United States,Arbor Mist,"Pinot Grigio, White Wine",,14%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,3,499.0
156,La Crema Sonoma Coast Chardonnay,United States,La Crema Wines,"Chardonnay, White Wine","Citrus, Melon - Honeydew, Stone Fruit",13.5%,"Chicken, Shellfish",Chardonnay Glass,4,Dry Wine,Full,4.8,251,1999.0
157,La Crema Sonoma Coast Pinot Noir,United States,La Crema Wines,"Pinot Noir, Red Wine","Berry, Smooth, Stone Fruit, Toasty, Tobacco",13.5%,"Duck  Game Bird, Fish - Meaty  Oily",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.8,254,2399.0
158,La Crema Monterey Pinot Noir,United States,La Crema Wines,"Pinot Noir, Red Wine","Cherry, Earthy, Minerality, Smooth, Toasty",13.5%,"Lamb, Cheese - Creamy  Bloomy",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.9,65,1943.0
159,La Crema Monterey Chardonnay,United States,La Crema Wines,"Chardonnay, White Wine","Citrus, Minerality, Peach, Tropical Fruit",13.9%,"Cheese - Hard Aged, Shellfish",Chardonnay Glass,4,Dry Wine,Full,4.8,40,1699.0
160,La Crema Williamette Valley Pinot Noir,United States,La Crema Wines,"Pinot Noir, Red Wine","Cherry, Coffee, Earthy, Red Fruit, Silky",14.5%,"Lamb, Fish - Meaty  Oily",Burgundy  Bourgogne Glass,5,Dry Wine,Light,4.6,13,2799.0
161,La Crema Russian River Valley Chardonnay,United States,La Crema Wines,"Chardonnay, White Wine","Acidic, Apple, Caramel, Citrus, Thick",14.5%,"Cheese - Fresh  Soft, Fish - Meaty  Oily, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,4,2799.0
162,La Crema Russian River Valley Pinot Noir,United States,La Crema Wines,"Pinot Noir, Red Wine","Red Fruit, Rich, Spicy, Stone Fruit",14.5%,"Duck  Game Bird, Fish - Meaty  Oily",Burgundy  Bourgogne Glass,5,Dry Wine,Light,2.5,2,3599.0
163,Baron Herzog Jeunesse Cabernet Sauvignon,United States,Baron Herzog Winery,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.6,52,1299.0
164,Bota Box Cabernet Sauvignon,United States,Bota Box Wines,"Cabernet Sauvignon, Red Wine","Currant, Jammy, Spicy",13.5%,"Beef, Pasta",Bordeaux Glass,6,Dry Wine,Full,4.9,352,1999.0
165,Bota Box Pinot Grigio,United States,Bota Box Wines,"Pinot Grigio, White Wine","Peach, Nectarine, Citrus",13%,"Pork, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.9,325,1195.0
166,Bota Box Sauvignon Blanc,United States,Bota Box Wines,"Sauvignon Blanc, White Wine","Nectarine, Melon - Honeydew, Citrus",13%,"Chicken, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.9,259,2299.0
167,Bota Box Chardonnay,United States,Bota Box Wines,"Chardonnay, White Wine","Acidic, Citrus, Apple, Toasty",13%,"Shellfish, Salads  Greens",Chardonnay Glass,4,Dry Wine,Full,4.8,167,1195.0
168,Bota Box Malbec,Argentina,Bota Box Wines,"Malbec, Red Wine","Dark Fruit, Jammy, Blueberry",13.5%,"Beef, Tomatoes",Standard Red Glass,6,Dry Wine,Full,4.9,137,1999.0
169,Bota Box Merlot,United States,Bota Box Wines,"Merlot, Red Wine","Cherry, Dark Fruit, Herbal, Spicy",13.5%,"Pork, Chicken",Bordeaux Glass,6,Dry Wine,Medium,5.0,34,1999.0
170,Bota Box Riesling,United States,Bota Box Wines,"Riesling, White Wine","Balanced, Melon - Honeydew, Peach, Stone Fruit",12.5%,"Cheese - Stinky, Shellfish",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,18,1999.0
171,Black Box Cabernet Sauvignon,United States,Black Box Wines,"Cabernet Sauvignon, Red Wine","Cherry, Chocolate, Oak, Vanilla",14%,"Beef, Mushrooms",Bordeaux Glass,6,Dry Wine,Full,4.9,173,499.0
172,Black Box Chardonnay,United States,Black Box Wines,"Chardonnay, White Wine","Tropical Fruit, Tart, Citrus",14%,"Chicken, Fish - White",Chardonnay Glass,4,Dry Wine,Full,4.8,118,2699.0
173,Black Box Sauvignon Blanc,United States,Black Box Wines,"Sauvignon Blanc, White Wine","Stone Fruit, Peach, Crisp, Acidic",13%,"Chicken, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.9,53,2699.0
174,Black Box Merlot,United States,Black Box Wines,"Merlot, Red Wine","Dark Fruit, Cherry, Smooth, Supple",14%,"Pork, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Medium,5.0,43,2183.0
175,Black Box Riesling,United States,Black Box Wines,"Riesling, White Wine","Apple, Citrus, Fresh, Sweet",12%,"Fruit - Citrus, Cheese - Blue",Standard White Glass,3,Semi-Sweet  Off-Dry,Light,5.0,7,2099.0
176,Lindeman’s Bin 65 Chardonnay,Australia,Lindemans Wine,"Chardonnay, White Wine","Tropical Fruit, Peach, Oak, Fig",13.5%,"Shellfish, Turkey",Chardonnay Glass,4,Dry Wine,Full,5.0,9,599.0
177,Lindemans Bin 45 Cabernet Sauvignon,Australia,Lindemans Wine,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,6,599.0
178,Lindeman’s Bin 85 Pinot Grigio,Australia,Lindemans Wine,"Pinot Grigio, White Wine",,12%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,4,599.0
179,Lindemans Bin 40 Merlot,Australia,Lindemans Wine,"Merlot, Red Wine",,13.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,3,599.0
180,Franzia® Chardonnay White Wine,United States,Franzia,"Chardonnay, White Wine","Oak, Stone Fruit, Vanilla",12.5%,"Chicken, Pasta",Chardonnay Glass,4,Semi-Sweet  Off-Dry,Full,4.7,91,1899.0
181,Franzia® Pinot Grigio Colombard White Wine,United States,Franzia,"Pinot Grigio, White Wine",,11.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,51,1907.0
182,Franzia® Cabernet Sauvignon Red Wine,United States,Franzia,"Cabernet Sauvignon, Red Wine",,13%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,4.6,54,1899.0
183,Franzia® Merlot Red Wine,United States,Franzia,"Merlot, Red Wine",,12.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,4.7,35,1899.0
184,Franzia® Chablis White Wine,France,Franzia,"Chardonnay, White Wine",,12%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,8,1899.0
185,Franzia® Rich & Buttery Chardonnay White Wine,United States,Franzia,"Chardonnay, White Wine","Butter, Pear, Vanilla",12.5%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,4,1899.0
186,Bolla Chianti,Italy,Bolla,"Chianti Blend, Red Wine",,13%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,6,Dry Wine,Medium,4.8,43,999.0
187,Estancia Cabernet Sauvignon,United States,Estancia,"Cabernet Sauvignon, Red Wine","Cherry, Currant, Chocolate, Intense",14%,"Cheese - Hard Aged, Pasta",Bordeaux Glass,6,Dry Wine,Full,5.0,11,1399.0
188,Estancia Reserve Chardonnay,United States,Estancia,"Chardonnay, White Wine","Honey, Oak, Peach, Tropical",14%,"Fish - White, Chicken",Chardonnay Glass,4,Dry Wine,Full,5.0,4,1099.0
189,Estancia Merlot,United States,Estancia,"Merlot, Red Wine",,14%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,3,1099.0
190,Estancia Pinot Grigio,United States,Estancia,"Pinot Grigio, White Wine","Citrus, Peach, Pear, Floral",14%,"Salads  Greens, Fish - White",Standard White Glass,3,Dry Wine,Light,5.0,3,1099.0
191,Ruffino Lumina DOC Pinot Grigio,Italy,Ruffino,"Pinot Grigio, White Wine",,14%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.9,98,999.0
192,Ruffino Chianti DOCG,Italy,Ruffino,"Chianti Blend, Red Wine","Fruity, Floral, Spicy, Chocolate",14%,"Beef, Pasta",Standard Red Glass,6,Dry Wine,Medium,5.0,28,1006.0
193,Ruffino Riserva Ducale Oro Chianti Classico,Italy,Ruffino,"Chianti Blend, Red Wine","Cherry, Berry, Tobacco, Leather",14%,"Cured Meats, Mushrooms",Standard Red Glass,6,Dry Wine,Medium,5.0,9,3862.0
194,Ruffino Chianti Superiore,Italy,Ruffino,"Chianti Blend, Red Wine",,14%,"Cured Meats, Cheese - Hard Aged",Standard Red Glass,6,Dry Wine,Medium,5.0,8,1199.0
195,Ruffino Aziano Chianti Classico,Italy,Ruffino,"Chianti Blend, Red Wine","Cherry, Herbal, Velvety, Spicy",13%,"Chicken, Tomatoes",Standard Red Glass,6,Dry Wine,Medium,5.0,2,1499.0
196,Becker Iconoclast Cabernet Sauvignon,United States,Becker,"Cabernet Sauvignon, Red Wine",,13.7%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,11,841.0
197,Fish Eye Cabernet Sauvignon,United States,Fish Eye,"Cabernet Sauvignon, Red Wine",,13.5%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,3,659.0
198,Fisheye Pinot Grigio,Australia,Fish Eye,"Pinot Grigio, White Wine",,13.5%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,2,1799.0
199,Fish Eye Chardonnay Box,United States,Fish Eye,"Chardonnay, White Wine",,13%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,2.5,2,1704.0
200,Alexander Valley Chardonnay,United States,Alexander Valley Vineyards,"Chardonnay, White Wine",,14%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,3,1599.0
201,Georges Duboeuf Beaujolais-Villages,France,Georges Duboeuf,"Pinot Noir, Red Wine",,12.5%,"Fish - Meaty  Oily, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,5.0,3,1262.0
202,Dark Horse Cabernet Sauvignon,United States,Dark Horse Wine,"Cabernet Sauvignon, Red Wine","Dark Fruit, Berry, Chocolate, Coffee",13.5%,"Beef, Pork",Bordeaux Glass,6,Dry Wine,Full,4.9,130,999.0
203,Dark Horse Sauvignon Blanc,United States,Dark Horse Wine,"Sauvignon Blanc, White Wine","Crisp, Citrus, Grapefruit, Acidic",13%,"Fish - Meaty  Oily, Salads  Greens",Standard White Glass,3,Dry Wine,Light,4.8,95,999.0
204,Dark Horse Chardonnay,United States,Dark Horse Wine,"Chardonnay, White Wine","Oak, Smooth, Caramel, Stone Fruit",13.5%,"Pork, Fish - Meaty  Oily",Chardonnay Glass,4,Dry Wine,Full,4.8,43,999.0
205,Dark Horse Merlot,United States,Dark Horse Wine,"Merlot, Red Wine","Bold, Dark Fruit, Jammy, Rich",13.5%,"Dessert - Chocolate  Coffee, Beef",Bordeaux Glass,6,Dry Wine,Medium,4.7,18,999.0
206,Rex Goliath Pinot Noir,United States,Rex Goliath,"Cabernet Sauvignon, Red Wine","Cherry, Dry, Vanilla, Bold",13%,"Pork, Fish - Meaty  Oily",Bordeaux Glass,6,Dry Wine,Light,4.5,10,699.0
207,Rex Goliath Chardonnay,United States,Rex Goliath,"Chardonnay, White Wine","Bold, Fruity, Sweet",14%,"Fish - Meaty  Oily, Pork",Chardonnay Glass,4,Dry Wine,Full,5.0,8,659.0
208,Rex Goliath Cabernet Sauvignon,United States,Rex Goliath,"Cabernet Sauvignon, Red Wine","Dark Fruit, Pepper, Spicy",14%,"Cheese - Nutty  Semi-Firm, Dessert - Chocolate  Coffee",Bordeaux Glass,6,Dry Wine,Full,4.1,6,699.0
209,Rex Goliath Merlot,United States,Rex Goliath,"Merlot, Red Wine",,14%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,4,659.0
210,Rex Goliath Pinot Grigio,United States,Rex Goliath,"Pinot Grigio, White Wine","Citrus, Floral, Stone Fruit, Bright",14%,"Fish - White, Shellfish",Standard White Glass,3,Dry Wine,Light,5.0,4,655.0
211,Concha y Toro Casillero Del Diablo Cabernet Sauvignon,Chile,Casillero del Diablo,"Cabernet Sauvignon, Red Wine","Silky, Herbal, Fruity, Berry",13.5%,"Beef, Cheese - Blue",Bordeaux Glass,6,Dry Wine,Full,5.0,29,1007.0
212,Concha Y Toro Casillero del Diablo Malbec,Chile,Casillero del Diablo,"Malbec, Red Wine","Dark Fruit, Berry, Pepper, Vanilla",13.5%,"Beef, Pork",Standard Red Glass,6,Dry Wine,Full,4.4,29,1074.0
213,Casillero del Diablo Merlot,Chile,Casillero del Diablo,"Merlot, Red Wine",,13.5%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,6,999.0
214,14 Hands Cabernet Sauvignon,United States,14 Hands,"Cabernet Sauvignon, Red Wine","Cherry, Currant, Spicy",13.5%,"Beef, Tomatoes",Bordeaux Glass,6,Dry Wine,Full,5.0,89,1199.0
215,14 Hands Merlot,United States,14 Hands,"Merlot, Red Wine","Berry, Cherry, Mocha, Round",13.5%,"Cheese - Hard Aged, Lamb",Bordeaux Glass,6,Dry Wine,Medium,5.0,21,1199.0
216,14 Hands Chardonnay,United States,14 Hands,"Chardonnay, White Wine","Citrus, Pear, Vanilla, Floral",13.5%,"Pork, Shellfish",Chardonnay Glass,4,Dry Wine,Full,5.0,6,1199.0
217,14 Hands Pinot Grigio,United States,14 Hands,"Pinot Grigio, White Wine","Green Apple, Melon, Pear",13%,Fish - White,Standard White Glass,3,Dry Wine,Light,4.0,5,1099.0
218,J. Lohr Estates Seven Oaks Cabernet Sauvignon Paso Robles CA,United States,J. Lohr Wines,"Cabernet Sauvignon, Red Wine","Acidic, Berry, Chocolate, Red Fruit, Toasty",14.4%,"Cheese - Creamy  Bloomy, Lamb, Mushrooms, Pork",Bordeaux Glass,6,Dry Wine,Full,5.0,113,1699.0
219,J. Lohr Estates Riverstone Chardonnay Monterey Arroyo Seco CA,United States,J. Lohr Wines,"Chardonnay, White Wine","Caramel, Citrus, Oak, Stone Fruit, Vanilla",13.95%,"Chicken, Fish - Meaty  Oily, Fruit - Citrus, Mushrooms, Nuts",Chardonnay Glass,4,Dry Wine,Full,5.0,46,1399.0
220,J. Lohr Estates Los Osos Merlot Paso Robles CA,United States,J. Lohr Wines,"Merlot, Red Wine","Acidic, Red Fruit",13.76%,"Duck  Game Bird, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,5.0,3,1499.0
221,Bogle Merlot,United States,Bogle,"Merlot, Red Wine","Rich, Red Fruit, Tobacco, Anise",13.5%,"Cured Meats, Tomatoes",Bordeaux Glass,6,Dry Wine,Medium,4.9,62,1099.0
222,Cono Sur Bicicleta Pinot Noir,Chile,Cono Sur,"Pinot Noir, Red Wine","Cherry, Berry, Bright, Balanced",13.5%,"Cheese - Hard Aged, Duck  Game Bird",Burgundy  Bourgogne Glass,5,Dry Wine,Light,2.5,2,1074.0
223,Catena Zapata Malbec Argentino,,Catena Zapata,"Malbec, Red Wine","Red Fruit, Dark Fruit, Vanilla, Mocha",13.5%,"Beef, Lamb",Standard Red Glass,6,Dry Wine,Full,5.0,18,1999.0
224,Catena Malbec,Argentina,Catena Zapata,"Malbec, Red Wine",,13.5%,"Pork, Mushrooms",Standard Red Glass,6,Dry Wine,Full,5.0,12,1799.0
225,Hess Select Monterey Chardonnay,United States,Hess Collection,"Chardonnay, White Wine","Citrus, Apple, Crisp, Bright",13.3%,"Mushrooms, Fish - White",Chardonnay Glass,4,Dry Wine,Full,5.0,21,1249.0
226,Hess Select North Coast Cabernet Sauvignon,United States,Hess Collection,"Cabernet Sauvignon, Red Wine","Berry, Cherry, Currant, Anise",13.5%,"Mushrooms, Cheese - Blue",Bordeaux Glass,6,Dry Wine,Full,5.0,14,1749.0
227,Hess Allomi Cabernet Sauvignon,United States,Hess Collection,"Cabernet Sauvignon, Red Wine",,14.8%,"Beef, Duck  Game Bird",Bordeaux Glass,6,Dry Wine,Full,5.0,8,3199.0
228,Hess Select Sauvignon Blanc,United States,Hess Collection,"Sauvignon Blanc, White Wine","Citrus, Tropical, Grassy, Rich",13.8%,"Cheese - Creamy  Bloomy, Tomatoes",Standard White Glass,3,Dry Wine,Light,3.3,3,1199.0
229,House Wine Cabernet Sauvignon,Chile,House Wine,"Cabernet Sauvignon, Red Wine","Dark Fruit, Berry, Pepper, Oak",13.3%,"Beef, Pork",Bordeaux Glass,6,Dry Wine,Full,4.6,14,1999.0
230,House Wine Pinot Grigio 3L Box,United States,House Wine,"Pinot Grigio, White Wine","Apricot, Citrus, Green Apple, Pear",13%,"Shellfish, Salads  Greens",Standard White Glass,3,Dry Wine,Light,5.0,6,1899.0
231,House Wine Malbec 3L Box,Chile,House Wine,"Malbec, Red Wine","Berry, Cinnamon, Oak, Pepper, Pruny",12.5%,"Beef, Cured Meats, Lamb, Mushrooms, Pork, Root Vegetables",Standard Red Glass,6,Dry Wine,Full,5.0,5,1924.0
232,House Wine Sauvignon Blanc,Chile,House Wine,"Sauvignon Blanc, White Wine","Floral, Tropical Fruit, Bright, Dry",12.5%,"Salads  Greens, Fish - White",Standard White Glass,3,Dry Wine,Light,5.0,5,1999.0
233,House Wine Chardonnay,Chile,House Wine,"Chardonnay, White Wine","Apple, Citrus, Crisp, Tropical",12.9%,"Fish - Meaty  Oily, Shellfish, Cheese - Fresh  Soft",Chardonnay Glass,4,Dry Wine,Full,5.0,4,1999.0
234,Santa Julia Organic Malbec,Argentina,Santa Julia,"Malbec, Red Wine","Dark Fruit, Dried Fruit, Fig, Fresh, Fruity",13.5%,"Beef, Mushrooms, Pasta, Pork",Standard Red Glass,6,Dry Wine,Full,5.0,7,1100.0
